NO,NAMA_PENGGUNA,COMMENT,SENTIMEN,komen case folding,komen tokenized,komen normalized,komen stemming,komen bersih
609,@Aka_Achmad,Hahahah..El rumi keok..wasit nya payah .buta,Negatif,hahahah..el rumi keok..wasit nya payah .buta,"['hahahah', '..', 'el', 'rumi', 'keok', '..', 'wasit', 'nya', 'payah', '.buta']","['hahahah', 'el', 'rumi', 'keok', 'wasit', 'nya', 'payah']","['hahahah', 'el', 'rumi', 'keok', 'wasit', 'nya', 'payah']",hahahah el rumi keok wasit nya payah
610,@taubatchannel1525,Seharusnya pelindung kepala dibuat lebih tebal lagi..dari bata ringan misalnya,Negatif,seharusnya pelindung kepala dibuat lebih tebal lagi..dari bata ringan misalnya,"['seharusnya', 'pelindung', 'kepala', 'dibuat', 'lebih', 'tebal', 'lagi', '..', 'dari', 'bata', 'ringan', 'misalnya']","['pelindung', 'kepala', 'tebal', 'bata', 'ringan']","['lindung', 'kepala', 'tebal', 'bata', 'ringan']",lindung kepala tebal bata ringan
612,@imutmainah8084,kayak emosi gitu si jerfri🤣,Negatif,kayak emosi gitu si jerfri🤣,"['kayak', 'emosi', 'gitu', 'si', 'jerfri🤣']","['kayak', 'emosi', 'gitu', 'si']","['kayak', 'emosi', 'gitu', 'si']",kayak emosi gitu si
613,@user-cn8vi5hi7u,Jlas bgt el kalah hakim g adil,Negatif,jlas bgt el kalah hakim g adil,"['jlas', 'bgt', 'el', 'kalah', 'hakim', 'g', 'adil']","['jlas', 'bgt', 'el', 'kalah', 'hakim', 'g', 'adil']","['jlas', 'bgt', 'el', 'kalah', 'hakim', 'g', 'adil']",jlas bgt el kalah hakim g adil
615,@user-bx5cz6vy4h,Sengaja kalik kalah jefry,Negatif,sengaja kalik kalah jefry,"['sengaja', 'kalik', 'kalah', 'jefry']","['sengaja', 'kalik', 'kalah', 'jefry']","['sengaja', 'kalik', 'kalah', 'jefry']",sengaja kalik kalah jefry
619,@teguhriyadi-rq6lo,Pdhl bgus jefri mainy.tpi mlh mnang el . aneh,Negatif,pdhl bgus jefri mainy.tpi mlh mnang el . aneh,"['pdhl', 'bgus', 'jefri', 'mainy.tpi', 'mlh', 'mnang', 'el', '.', 'aneh']","['pdhl', 'bgus', 'jefri', 'mlh', 'mnang', 'el', 'aneh']","['pdhl', 'bgus', 'jefri', 'mlh', 'mnang', 'el', 'aneh']",pdhl bgus jefri mlh mnang el aneh
620,@WarnerBrosAceh-ie4lf,2 idiot sudah bertarung😂😂,Negatif,2 idiot sudah bertarung😂😂,"['2', 'idiot', 'sudah', 'bertarung😂😂']",['idiot'],['idiot'],idiot
621,@romualdusjefri9639,Lemah banget mreka dua ni....memang klo kami org timur beda yah...kami lebih kuat dari mreka,Negatif,lemah banget mreka dua ni....memang klo kami org timur beda yah...kami lebih kuat dari mreka,"['lemah', 'banget', 'mreka', 'dua', 'ni', '....', 'memang', 'klo', 'kami', 'org', 'timur', 'beda', 'yah', '...', 'kami', 'lebih', 'kuat', 'dari', 'mreka']","['lemah', 'banget', 'mreka', 'ni', 'klo', 'org', 'timur', 'beda', 'yah', 'kuat', 'mreka']","['lemah', 'banget', 'mreka', 'ni', 'klo', 'org', 'timur', 'beda', 'yah', 'kuat', 'mreka']",lemah banget mreka ni klo org timur beda yah kuat mreka
622,@Pengaranghandal5521,"Masalahnya strategi sih. Jeff nargetin round awal tp perjanjiann make pelindung kpl, lawanya El bukan haters yg gapunya basic boxing. El disiplinnya konsisten dan Jeff terlalu ambisi buat Tko",Positif,"masalahnya strategi sih. jeff nargetin round awal tp perjanjiann make pelindung kpl, lawanya el bukan haters yg gapunya basic boxing. el disiplinnya konsisten dan jeff terlalu ambisi buat tko","['masalahnya', 'strategi', 'sih', '.', 'jeff', 'nargetin', 'round', 'awal', 'tp', 'perjanjiann', 'make', 'pelindung', 'kpl', ',', 'lawanya', 'el', 'bukan', 'haters', 'yg', 'gapunya', 'basic', 'boxing', '.', 'el', 'disiplinnya', 'konsisten', 'dan', 'jeff', 'terlalu', 'ambisi', 'buat', 'tko']","['strategi', 'sih', 'jeff', 'nargetin', 'round', 'tp', 'perjanjiann', 'make', 'pelindung', 'kpl', 'lawanya', 'el', 'haters', 'yg', 'gapunya', 'basic', 'boxing', 'el', 'disiplinnya', 'konsisten', 'jeff', 'ambisi', 'tko']","['strategi', 'sih', 'jeff', 'nargetin', 'round', 'tp', 'perjanjiann', 'make', 'lindung', 'kpl', 'lawa', 'el', 'haters', 'yg', 'gapunya', 'basic', 'boxing', 'el', 'disiplin', 'konsisten', 'jeff', 'ambisi', 'tko']",strategi sih jeff nargetin round tp perjanjiann make lindung kpl lawa el haters yg gapunya basic boxing el disiplin konsisten jeff ambisi tko
623,@user-gg3uq6xl7w,Wasit nyaa ajng,Negatif,wasit nyaa ajng,"['wasit', 'nyaa', 'ajng']","['wasit', 'nyaa', 'ajng']","['wasit', 'nyaa', 'ajng']",wasit nyaa ajng
624,@zahrakirana2933,Hahahaha habis nafas petinju sempoyongan,Positif,hahahaha habis nafas petinju sempoyongan,"['hahahaha', 'habis', 'nafas', 'petinju', 'sempoyongan']","['hahahaha', 'habis', 'nafas', 'petinju', 'sempoyongan']","['hahahaha', 'habis', 'nafas', 'tinju', 'sempoyongan']",hahahaha habis nafas tinju sempoyongan
625,@anakitiktokwi2939,Tinju yg lucu 😂😂😂😂,Positif,tinju yg lucu 😂😂😂😂,"['tinju', 'yg', 'lucu', '😂😂😂😂']","['tinju', 'yg', 'lucu']","['tinju', 'yg', 'lucu']",tinju yg lucu
626,@anakitiktokwi2939,Jeffri itu kayak mau membunuh el😂😂😂😂makanya pukulannya ganas ganas😂😂😂.. Dia sesuainya jd Street fighter aja😂😂😂😂,Negatif,jeffri itu kayak mau membunuh el😂😂😂😂makanya pukulannya ganas ganas😂😂😂.. dia sesuainya jd street fighter aja😂😂😂😂,"['jeffri', 'itu', 'kayak', 'mau', 'membunuh', 'el😂😂😂😂makanya', 'pukulannya', 'ganas', 'ganas😂😂😂', '..', 'dia', 'sesuainya', 'jd', 'street', 'fighter', 'aja😂😂😂😂']","['jeffri', 'kayak', 'membunuh', 'pukulannya', 'ganas', 'sesuainya', 'jd', 'street', 'fighter']","['jeffri', 'kayak', 'bunuh', 'pukul', 'ganas', 'sesuai', 'jd', 'street', 'fighter']",jeffri kayak bunuh pukul ganas sesuai jd street fighter
628,@rogerstanley3005,Juri nya dibayar berapa sm si botak?🤔,Negatif,juri nya dibayar berapa sm si botak?🤔,"['juri', 'nya', 'dibayar', 'berapa', 'sm', 'si', 'botak', '?', '🤔']","['juri', 'nya', 'dibayar', 'sm', 'si', 'botak']","['juri', 'nya', 'bayar', 'sm', 'si', 'botak']",juri nya bayar sm si botak
629,@ujangtea5890,laki banget dh rumi,Negatif,laki banget dh rumi,"['laki', 'banget', 'dh', 'rumi']","['laki', 'banget', 'dh', 'rumi']","['laki', 'banget', 'dh', 'rumi']",laki banget dh rumi
630,@nawirmunawir486,Pukulanya mirip emak2.lg hamil😂,Negatif,pukulanya mirip emak2.lg hamil😂,"['pukulanya', 'mirip', 'emak2.lg', 'hamil😂']",['pukulanya'],['pukulanya'],pukulanya
631,@moroberkah5310,"Terlalu ingin menjatuhkan elrumi,, tapi pukulan jadi ga terarah.. main kyk gitu round 3 biasanya  sdh ngos2an.. round 4 smpe akhir milik elrumi",Positif,"terlalu ingin menjatuhkan elrumi,, tapi pukulan jadi ga terarah.. main kyk gitu round 3 biasanya  sdh ngos2an.. round 4 smpe akhir milik elrumi","['terlalu', 'ingin', 'menjatuhkan', 'elrumi', ',', ',', 'tapi', 'pukulan', 'jadi', 'ga', 'terarah', '..', 'main', 'kyk', 'gitu', 'round', '3', 'biasanya', 'sdh', 'ngos2an', '..', 'round', '4', 'smpe', 'akhir', 'milik', 'elrumi']","['menjatuhkan', 'elrumi', 'pukulan', 'ga', 'terarah', 'main', 'kyk', 'gitu', 'round', 'sdh', 'round', 'smpe', 'milik', 'elrumi']","['jatuh', 'elrumi', 'pukul', 'ga', 'arah', 'main', 'kyk', 'gitu', 'round', 'sdh', 'round', 'smpe', 'milik', 'elrumi']",jatuh elrumi pukul ga arah main kyk gitu round sdh round smpe milik elrumi
632,@tandanielwijaya3047,Curang menurut saya jefri lebih banyak memukul telak... Ga masuk akal ini permainan,Negatif,curang menurut saya jefri lebih banyak memukul telak... ga masuk akal ini permainan,"['curang', 'menurut', 'saya', 'jefri', 'lebih', 'banyak', 'memukul', 'telak', '...', 'ga', 'masuk', 'akal', 'ini', 'permainan']","['curang', 'jefri', 'memukul', 'telak', 'ga', 'masuk', 'akal', 'permainan']","['curang', 'jefri', 'pukul', 'telak', 'ga', 'masuk', 'akal', 'main']",curang jefri pukul telak ga masuk akal main
633,@hendrasuwandra991,seru Bos,Positif,seru bos,"['seru', 'bos']","['seru', 'bos']","['seru', 'bos']",seru bos
634,@user-tp4oz6yo5e,Ah curang seharusnya Jefri menang,Negatif,ah curang seharusnya jefri menang,"['ah', 'curang', 'seharusnya', 'jefri', 'menang']","['ah', 'curang', 'jefri', 'menang']","['ah', 'curang', 'jefri', 'menang']",ah curang jefri menang
635,@dianalimardi88,Bagus lah. Biar si JN jangan sok jago mulu. JN dorong2 mulu. Berharap si El jatoh n mentalnya jatoh. Padahal bukan krn dipukul tp krn didorong.,Positif,bagus lah. biar si jn jangan sok jago mulu. jn dorong2 mulu. berharap si el jatoh n mentalnya jatoh. padahal bukan krn dipukul tp krn didorong.,"['bagus', 'lah', '.', 'biar', 'si', 'jn', 'jangan', 'sok', 'jago', 'mulu', '.', 'jn', 'dorong2', 'mulu', '.', 'berharap', 'si', 'el', 'jatoh', 'n', 'mentalnya', 'jatoh', '.', 'padahal', 'bukan', 'krn', 'dipukul', 'tp', 'krn', 'didorong', '.']","['bagus', 'biar', 'si', 'jn', 'sok', 'jago', 'mulu', 'jn', 'mulu', 'berharap', 'si', 'el', 'jatoh', 'n', 'mentalnya', 'jatoh', 'krn', 'dipukul', 'tp', 'krn', 'didorong']","['bagus', 'biar', 'si', 'jn', 'sok', 'jago', 'mulu', 'jn', 'mulu', 'harap', 'si', 'el', 'jatoh', 'n', 'mental', 'jatoh', 'krn', 'pukul', 'tp', 'krn', 'dorong']",bagus biar si jn sok jago mulu jn mulu harap si el jatoh n mental jatoh krn pukul tp krn dorong
636,@jajangsuriadin960,Padahal masih muda napas nya ampun cuman 4 ronde🤣 bayangin kalo d pukul Ryan Garcia🤣,Positif,padahal masih muda napas nya ampun cuman 4 ronde🤣 bayangin kalo d pukul ryan garcia🤣,"['padahal', 'masih', 'muda', 'napas', 'nya', 'ampun', 'cuman', '4', 'ronde🤣', 'bayangin', 'kalo', 'd', 'pukul', 'ryan', 'garcia🤣']","['muda', 'napas', 'nya', 'ampun', 'cuman', 'bayangin', 'kalo', 'd', 'ryan']","['muda', 'napas', 'nya', 'ampun', 'cuman', 'bayangin', 'kalo', 'd', 'ryan']",muda napas nya ampun cuman bayangin kalo d ryan
637,@holigoodslazada4338,UANG BERBICARA,Negatif,uang berbicara,"['uang', 'berbicara']","['uang', 'berbicara']","['uang', 'bicara']",uang bicara
639,@halfway7241,"Oh tinju ya, kirain balap motor pake helm😅",Positif,"oh tinju ya, kirain balap motor pake helm😅","['oh', 'tinju', 'ya', ',', 'kirain', 'balap', 'motor', 'pake', 'helm😅']","['oh', 'tinju', 'ya', 'kirain', 'balap', 'motor', 'pake']","['oh', 'tinju', 'ya', 'kirain', 'balap', 'motor', 'pake']",oh tinju ya kirain balap motor pake
642,@rezapramanaputra5652,El kabur².an mulu 😅,Negatif,el kabur².an mulu 😅,"['el', 'kabur².an', 'mulu', '😅']","['el', 'mulu']","['el', 'mulu']",el mulu
643,@lestarijaya1962,Komentatornya qemihak el rumi,Negatif,komentatornya qemihak el rumi,"['komentatornya', 'qemihak', 'el', 'rumi']","['komentatornya', 'qemihak', 'el', 'rumi']","['komentator', 'qemihak', 'el', 'rumi']",komentator qemihak el rumi
644,@Sunsun-pg6qj,"Konten. Orang bodoh saja yang se7 dengan kemenangan itu. Jelas2 nikol yang lebih banyak masuk pukulan nya. 

Jangan di tonton lagi acara seperti ini",Negatif,"konten. orang bodoh saja yang se7 dengan kemenangan itu. jelas2 nikol yang lebih banyak masuk pukulan nya. 

jangan di tonton lagi acara seperti ini","['konten', '.', 'orang', 'bodoh', 'saja', 'yang', 'se7', 'dengan', 'kemenangan', 'itu', '.', 'jelas2', 'nikol', 'yang', 'lebih', 'banyak', 'masuk', 'pukulan', 'nya', '.', 'jangan', 'di', 'tonton', 'lagi', 'acara', 'seperti', 'ini']","['konten', 'orang', 'bodoh', 'kemenangan', 'nikol', 'masuk', 'pukulan', 'nya', 'tonton', 'acara']","['konten', 'orang', 'bodoh', 'menang', 'nikol', 'masuk', 'pukul', 'nya', 'tonton', 'acara']",konten orang bodoh menang nikol masuk pukul nya tonton acara
646,@ferriiswanto1069,"Kok bisa gitu ya, yg dibantai siapa yg menang siapa.",Negatif,"kok bisa gitu ya, yg dibantai siapa yg menang siapa.","['kok', 'bisa', 'gitu', 'ya', ',', 'yg', 'dibantai', 'siapa', 'yg', 'menang', 'siapa', '.']","['gitu', 'ya', 'yg', 'dibantai', 'yg', 'menang']","['gitu', 'ya', 'yg', 'bantai', 'yg', 'menang']",gitu ya yg bantai yg menang
647,@3GChannel828,"Mau kalah mau menang
Mereka itu gentle",Positif,"mau kalah mau menang
mereka itu gentle","['mau', 'kalah', 'mau', 'menang', 'mereka', 'itu', 'gentle']","['kalah', 'menang', 'gentle']","['kalah', 'menang', 'gentle']",kalah menang gentle
649,@user-cl3pt4zb8i,Apan.y jelas jelas poin di tangan jefri nikol. Masa yg menang al. Poin mutlak buat jefri.nokol bos.,Negatif,apan.y jelas jelas poin di tangan jefri nikol. masa yg menang al. poin mutlak buat jefri.nokol bos.,"['apan.y', 'jelas', 'jelas', 'poin', 'di', 'tangan', 'jefri', 'nikol', '.', 'masa', 'yg', 'menang', 'al', '.', 'poin', 'mutlak', 'buat', 'jefri.nokol', 'bos', '.']","['poin', 'tangan', 'jefri', 'nikol', 'yg', 'menang', 'al', 'poin', 'mutlak', 'bos']","['poin', 'tangan', 'jefri', 'nikol', 'yg', 'menang', 'al', 'poin', 'mutlak', 'bos']",poin tangan jefri nikol yg menang al poin mutlak bos
650,@singgihw9900,"Bgusan el rumu , rapih",Positif,"bgusan el rumu , rapih","['bgusan', 'el', 'rumu', ',', 'rapih']","['bgusan', 'el', 'rumu', 'rapih']","['bgusan', 'el', 'rumu', 'rapih']",bgusan el rumu rapih
651,@jhozemadrid4444,"Juri apaan?? Ronde 1-3 jefri unggul, ronde 4 el rumi emang unggul sih tapi menit 7:42 el jatuh bukan kepleset itu pukulan dan kuda2nya yg gk kuat.. ga jelas jurinya gw nntn 3x dari 2 sisi, dari sudut pandang el sama jefri, harusnya jefri win no debat!",Negatif,"juri apaan?? ronde 1-3 jefri unggul, ronde 4 el rumi emang unggul sih tapi menit 7:42 el jatuh bukan kepleset itu pukulan dan kuda2nya yg gk kuat.. ga jelas jurinya gw nntn 3x dari 2 sisi, dari sudut pandang el sama jefri, harusnya jefri win no debat!","['juri', 'apaan', '?', '?', 'ronde', '1-3', 'jefri', 'unggul', ',', 'ronde', '4', 'el', 'rumi', 'emang', 'unggul', 'sih', 'tapi', 'menit', '7:42', 'el', 'jatuh', 'bukan', 'kepleset', 'itu', 'pukulan', 'dan', 'kuda2nya', 'yg', 'gk', 'kuat', '..', 'ga', 'jelas', 'jurinya', 'gw', 'nntn', '3x', 'dari', '2', 'sisi', ',', 'dari', 'sudut', 'pandang', 'el', 'sama', 'jefri', ',', 'harusnya', 'jefri', 'win', 'no', 'debat', '!']","['juri', 'ronde', 'jefri', 'unggul', 'ronde', 'el', 'rumi', 'emang', 'unggul', 'sih', 'menit', 'el', 'jatuh', 'kepleset', 'pukulan', 'yg', 'gk', 'kuat', 'ga', 'jurinya', 'gw', 'nntn', 'sisi', 'sudut', 'pandang', 'el', 'jefri', 'jefri', 'win', 'no', 'debat']","['juri', 'ronde', 'jefri', 'unggul', 'ronde', 'el', 'rumi', 'emang', 'unggul', 'sih', 'menit', 'el', 'jatuh', 'kepleset', 'pukul', 'yg', 'gk', 'kuat', 'ga', 'juri', 'gw', 'nntn', 'sisi', 'sudut', 'pandang', 'el', 'jefri', 'jefri', 'win', 'no', 'debat']",juri ronde jefri unggul ronde el rumi emang unggul sih menit el jatuh kepleset pukul yg gk kuat ga juri gw nntn sisi sudut pandang el jefri jefri win no debat
653,@agussatria2235,Main sogok dong,Negatif,main sogok dong,"['main', 'sogok', 'dong']","['main', 'sogok']","['main', 'sogok']",main sogok
654,@pampam-tu8hj,Di pertandingan ini inyong idolaku yg menang ....,Positif,di pertandingan ini inyong idolaku yg menang ....,"['di', 'pertandingan', 'ini', 'inyong', 'idolaku', 'yg', 'menang', '....']","['pertandingan', 'inyong', 'idolaku', 'yg', 'menang']","['tanding', 'inyong', 'idola', 'yg', 'menang']",tanding inyong idola yg menang
655,@hakimyangadil5768,"Ngk JELAS Capek² Bertanding aja kalau Juri Indonesian bisa d sogok, sungguh Membangonkan Para Petaruh aja Kalau begitu 😂😂😂",Negatif,"ngk jelas capek² bertanding aja kalau juri indonesian bisa d sogok, sungguh membangonkan para petaruh aja kalau begitu 😂😂😂","['ngk', 'jelas', 'capek²', 'bertanding', 'aja', 'kalau', 'juri', 'indonesian', 'bisa', 'd', 'sogok', ',', 'sungguh', 'membangonkan', 'para', 'petaruh', 'aja', 'kalau', 'begitu', '😂😂😂']","['ngk', 'bertanding', 'aja', 'juri', 'indonesian', 'd', 'sogok', 'sungguh', 'membangonkan', 'petaruh', 'aja']","['ngk', 'tanding', 'aja', 'juri', 'indonesian', 'd', 'sogok', 'sungguh', 'membangonkan', 'taruh', 'aja']",ngk tanding aja juri indonesian d sogok sungguh membangonkan taruh aja
656,@laksonoroy5109,"Pesona Ahmad dhani  dipecah diturunkan ke ketiga anaknya : 
Al : flamboyan
El : fighter 
Dul : seniman/musik",Positif,"pesona ahmad dhani  dipecah diturunkan ke ketiga anaknya : 
al : flamboyan
el : fighter 
dul : seniman/musik","['pesona', 'ahmad', 'dhani', 'dipecah', 'diturunkan', 'ke', 'ketiga', 'anaknya', ':', 'al', ':', 'flamboyan', 'el', ':', 'fighter', 'dul', ':', 'seniman/musik']","['pesona', 'ahmad', 'dhani', 'dipecah', 'diturunkan', 'ketiga', 'anaknya', 'al', 'flamboyan', 'el', 'fighter', 'dul']","['pesona', 'ahmad', 'dhani', 'pecah', 'turun', 'tiga', 'anak', 'al', 'flamboyan', 'el', 'fighter', 'dul']",pesona ahmad dhani pecah turun tiga anak al flamboyan el fighter dul
657,@jumrianimuntaha5479,"Yg menang poin masuk UGD.
Lah yg kalah poin masuk Rumah makan..
Busettttt dah😅😅😂😂😂",Positif,"yg menang poin masuk ugd.
lah yg kalah poin masuk rumah makan..
busettttt dah😅😅😂😂😂","['yg', 'menang', 'poin', 'masuk', 'ugd', '.', 'lah', 'yg', 'kalah', 'poin', 'masuk', 'rumah', 'makan', '..', 'busettttt', 'dah😅😅😂😂😂']","['yg', 'menang', 'poin', 'masuk', 'ugd', 'yg', 'kalah', 'poin', 'masuk', 'rumah', 'makan', 'busettttt']","['yg', 'menang', 'poin', 'masuk', 'ugd', 'yg', 'kalah', 'poin', 'masuk', 'rumah', 'makan', 'busettttt']",yg menang poin masuk ugd yg kalah poin masuk rumah makan busettttt
658,@mahyudiyudi8082,Jefri vs duit,Negatif,jefri vs duit,"['jefri', 'vs', 'duit']","['jefri', 'vs', 'duit']","['jefri', 'vs', 'duit']",jefri vs duit
659,@suspect6421,"Ini baru keren, gimana kalau lawan celos wkwkwkwk",Positif,"ini baru keren, gimana kalau lawan celos wkwkwkwk","['ini', 'baru', 'keren', ',', 'gimana', 'kalau', 'lawan', 'celos', 'wkwkwkwk']","['keren', 'gimana', 'lawan', 'celos', 'wkwkwkwk']","['keren', 'gimana', 'lawan', 'celos', 'wkwkwkwk']",keren gimana lawan celos wkwkwkwk
661,@anisawicaksono5994,Apakah ini setingan..😂😂😂,Negatif,apakah ini setingan..😂😂😂,"['apakah', 'ini', 'setingan', '..', '😂😂😂']",['setingan'],['ting'],ting
662,@ramdhanirama9951,Lu punya uang lu punya kuasa😂bapak nya menghalalkan segala cara untuk kemenangan anak nya😊,Negatif,lu punya uang lu punya kuasa😂bapak nya menghalalkan segala cara untuk kemenangan anak nya😊,"['lu', 'punya', 'uang', 'lu', 'punya', 'kuasa😂bapak', 'nya', 'menghalalkan', 'segala', 'cara', 'untuk', 'kemenangan', 'anak', 'nya😊']","['lu', 'uang', 'lu', 'nya', 'menghalalkan', 'kemenangan', 'anak']","['lu', 'uang', 'lu', 'nya', 'halal', 'menang', 'anak']",lu uang lu nya halal menang anak
665,@kawanriot1617,Kaya emak2 berantem ga sih,Negatif,kaya emak2 berantem ga sih,"['kaya', 'emak2', 'berantem', 'ga', 'sih']","['kaya', 'berantem', 'ga', 'sih']","['kaya', 'antem', 'ga', 'sih']",kaya antem ga sih
666,@SyaifBahri,Kelas rongsok,Negatif,kelas rongsok,"['kelas', 'rongsok']","['kelas', 'rongsok']","['kelas', 'rongsok']",kelas rongsok
667,@kamdahir390,Lebih seru ini dr pda si vicky vs azka,Positif,lebih seru ini dr pda si vicky vs azka,"['lebih', 'seru', 'ini', 'dr', 'pda', 'si', 'vicky', 'vs', 'azka']","['seru', 'dr', 'pda', 'si', 'vicky', 'vs', 'azka']","['seru', 'dr', 'pda', 'si', 'vicky', 'vs', 'azka']",seru dr pda si vicky vs azka
668,@RadennJery,"Bacot lah jelas2 yang harusnya yang menguasai pertandingan yang harusnya menang, biasa lah sistem indo jagoan slalu kalah sama pihak kedua",Negatif,"bacot lah jelas2 yang harusnya yang menguasai pertandingan yang harusnya menang, biasa lah sistem indo jagoan slalu kalah sama pihak kedua","['bacot', 'lah', 'jelas2', 'yang', 'harusnya', 'yang', 'menguasai', 'pertandingan', 'yang', 'harusnya', 'menang', ',', 'biasa', 'lah', 'sistem', 'indo', 'jagoan', 'slalu', 'kalah', 'sama', 'pihak', 'kedua']","['bacot', 'menguasai', 'pertandingan', 'menang', 'sistem', 'indo', 'jagoan', 'slalu', 'kalah']","['bacot', 'kuasa', 'tanding', 'menang', 'sistem', 'indo', 'jago', 'slalu', 'kalah']",bacot kuasa tanding menang sistem indo jago slalu kalah
669,@ImanNungkyKautsar,"Kayak McGregor vs Diaz di UFC. McGregor yang hobi taunting dan ngeles ngabisin energi lawannya, sama Diaz yang gak terlalu bisa taunting, body dan tenaga lebih gede, yang penting bisa gebukin lawannya. 😂",Positif,"kayak mcgregor vs diaz di ufc. mcgregor yang hobi taunting dan ngeles ngabisin energi lawannya, sama diaz yang gak terlalu bisa taunting, body dan tenaga lebih gede, yang penting bisa gebukin lawannya. 😂","['kayak', 'mcgregor', 'vs', 'diaz', 'di', 'ufc', '.', 'mcgregor', 'yang', 'hobi', 'taunting', 'dan', 'ngeles', 'ngabisin', 'energi', 'lawannya', ',', 'sama', 'diaz', 'yang', 'gak', 'terlalu', 'bisa', 'taunting', ',', 'body', 'dan', 'tenaga', 'lebih', 'gede', ',', 'yang', 'penting', 'bisa', 'gebukin', 'lawannya', '.', '😂']","['kayak', 'mcgregor', 'vs', 'diaz', 'ufc', 'mcgregor', 'hobi', 'taunting', 'ngeles', 'ngabisin', 'energi', 'lawannya', 'diaz', 'gak', 'taunting', 'body', 'tenaga', 'gede', 'gebukin', 'lawannya']","['kayak', 'mcgregor', 'vs', 'diaz', 'ufc', 'mcgregor', 'hobi', 'taunting', 'ngeles', 'ngabisin', 'energi', 'lawan', 'diaz', 'gak', 'taunting', 'body', 'tenaga', 'gede', 'gebukin', 'lawan']",kayak mcgregor vs diaz ufc mcgregor hobi taunting ngeles ngabisin energi lawan diaz gak taunting body tenaga gede gebukin lawan
670,@rustamasa4377,"Menang poin dr wasid doank sih.
Dan faktanya sekarang El_Rumi malah tepar. Padahal lebih tinggi lebih panjang pula.",Negatif,"menang poin dr wasid doank sih.
dan faktanya sekarang el_rumi malah tepar. padahal lebih tinggi lebih panjang pula.","['menang', 'poin', 'dr', 'wasid', 'doank', 'sih', '.', 'dan', 'faktanya', 'sekarang', 'el_rumi', 'malah', 'tepar', '.', 'padahal', 'lebih', 'tinggi', 'lebih', 'panjang', 'pula', '.']","['menang', 'poin', 'dr', 'wasid', 'doank', 'sih', 'faktanya', 'tepar']","['menang', 'poin', 'dr', 'wasid', 'doank', 'sih', 'fakta', 'tepar']",menang poin dr wasid doank sih fakta tepar
671,@taufikkurahman7319,Lu ninju apa renang?,Negatif,lu ninju apa renang?,"['lu', 'ninju', 'apa', 'renang', '?']","['lu', 'ninju', 'renang']","['lu', 'ninju', 'renang']",lu ninju renang
672,@fanyjuniardi3609,El setiap melempar pukul banyak yg masuk ketimbang jepri,Positif,el setiap melempar pukul banyak yg masuk ketimbang jepri,"['el', 'setiap', 'melempar', 'pukul', 'banyak', 'yg', 'masuk', 'ketimbang', 'jepri']","['el', 'melempar', 'yg', 'masuk', 'ketimbang', 'jepri']","['el', 'lempar', 'yg', 'masuk', 'ketimbang', 'jepri']",el lempar yg masuk ketimbang jepri
673,@user-mw7fi5pk8u,"Hebat El Rumi bisa jadi petinju hebat, tingkat kabupaten latihan lebih ekstra keras terutama di lari",Positif,"hebat el rumi bisa jadi petinju hebat, tingkat kabupaten latihan lebih ekstra keras terutama di lari","['hebat', 'el', 'rumi', 'bisa', 'jadi', 'petinju', 'hebat', ',', 'tingkat', 'kabupaten', 'latihan', 'lebih', 'ekstra', 'keras', 'terutama', 'di', 'lari']","['hebat', 'el', 'rumi', 'petinju', 'hebat', 'tingkat', 'kabupaten', 'latihan', 'ekstra', 'keras', 'lari']","['hebat', 'el', 'rumi', 'tinju', 'hebat', 'tingkat', 'kabupaten', 'latih', 'ekstra', 'keras', 'lari']",hebat el rumi tinju hebat tingkat kabupaten latih ekstra keras lari
677,@alexandrianto1286,Saya mlah jadi ngantuk lihat tinju ini 😂,Negatif,saya mlah jadi ngantuk lihat tinju ini 😂,"['saya', 'mlah', 'jadi', 'ngantuk', 'lihat', 'tinju', 'ini', '😂']","['mlah', 'ngantuk', 'lihat', 'tinju']","['mlah', 'ngantuk', 'lihat', 'tinju']",mlah ngantuk lihat tinju
678,@user-lq2jc1kb6e,"Curang jevri, yg menang kenapa si al yg menang, bikin malu saja, ganti saja juri nya dan has it nya",Negatif,"curang jevri, yg menang kenapa si al yg menang, bikin malu saja, ganti saja juri nya dan has it nya","['curang', 'jevri', ',', 'yg', 'menang', 'kenapa', 'si', 'al', 'yg', 'menang', ',', 'bikin', 'malu', 'saja', ',', 'ganti', 'saja', 'juri', 'nya', 'dan', 'has', 'it', 'nya']","['curang', 'jevri', 'yg', 'menang', 'si', 'al', 'yg', 'menang', 'bikin', 'malu', 'ganti', 'juri', 'nya', 'has', 'it', 'nya']","['curang', 'jevri', 'yg', 'menang', 'si', 'al', 'yg', 'menang', 'bikin', 'malu', 'ganti', 'juri', 'nya', 'has', 'it', 'nya']",curang jevri yg menang si al yg menang bikin malu ganti juri nya has it nya
